гг.	годы
г.	год
г.	году
г.	год
г.	года
г.	годом
г.	годе
§	параграф
комн.	комнатная
эт.	этажный
кв.	квартира
кв.	квартал
кв.	квартала
кв.	кварталу
кв.	кварталом
кв.	квартале
ЖК	женская консультация
ЖК	жидкие кристаллы
ЖК	жилой комплекс
ЖК	жилищный кооператив
ЖК	жилищный кодекс
р-н	район
до н. э.	до нашей эры
н. э.	нашей эры
см. также	смотри также
с.ш.	северной широты
ю.ш.	южной широты
в.д.	восточной долготы
з.д.	западной долготы
и т. д.	и так далее
и т. п.	и тому подобное
б/у	бывший в употреблении
экз.	экземпляр
экз.	экземпляры
и др.	и другие
и пр.	и прочие
т.е.	то есть
.	точка
,	запятая
;	точка с запятой
:	двоеточие
...	многоточие
-	дефис
—	тире
?	вопросительный знак
?	знак вопроса
!	восклицательный знак
/	косая черта
/	слеш
(	открыть скобки
)	закрыть скобки
(	скобка открывается
)	скобка закрывается
«	открыть кавычки
»	закрыть кавычки
+	знак плюс
-	знак минус
±	знак плюс минус
×	знак крестик
=	знак равно
≠	знак неравенства
>	знак больше
<	знак меньше
≥	знак больше или равно
≤	знак меньше или равно
|	вертикальная черта
№	номер
%	процент
←	стрелка влево
↑	стрелка вверх
→	стрелка вправо
1/2	одна вторая
1/2	одну вторую
1/2	одной второй
1/4	одна четвёртая
1/4	одну четвёртую
1/4	одной четвёртой
3/4	три четвёртых
3/4	тремя четвёртыми
3/4	три четвёртые
3/4	трёх четвёртых
1/4	одна четвртая
1/4	одну четвертую
1/4	одной четвертой
3/4	три четвертых
3/4	тремя четвертыми
3/4	три четвертые
3/4	трех четвертых
1/5	одна пятая
2/5	две пятых
3/5	три пятых
4/5	четыре пятых
